BenefitID,EmployeeID,BenefitType,StartDate,EndDate,CostToCompany,ContributionByEmployee
cd8f546c-70b0-45cb-9b21-cb5507da6025,e12da74b-b76b-4cd2-b238-a7d88dc4bec7,Retirement Plan,2021-12-25,2024-08-28,4942,694
00872960-d15a-4a59-a189-ee732ac54e67,9f777087-4203-4d92-9bc3-8a3b75535605,Health Insurance,2022-05-28,2024-02-10,3613,498
e45a1027-d4c9-4c96-ad7e-8365373f2b90,5e2ad7f2-a4f5-4777-949a-4498304d5f82,Gym Membership,2021-12-03,2024-07-25,3908,560
59092e19-1538-4350-8874-a1f3fd8713ad,6d7f88b8-3a0d-40a8-bf6e-05b705714aa4,Gym Membership,2023-11-29,2024-01-31,2400,702
a938b494-8fe7-4527-b04a-f502a46ac694,afb39fe3-5b3d-4607-8712-ca45b1f1c254,Retirement Plan,2019-12-28,2024-01-27,4334,844
7090c79f-5d5f-44e6-9edb-2b3fdd325803,7827963f-6cc2-449a-ab20-cdcbedc7adf5,Retirement Plan,2020-12-16,2024-05-19,3755,927
6bbf0a92-4f04-4268-a584-f46840d6483e,dbe5efb0-7cb3-44d4-9a1c-c9955af3674e,Gym Membership,2022-11-19,2024-04-20,4786,654
d87d114c-0493-492a-9332-69c4b5daa5db,391b0ef4-a3d5-4d32-a6b2-6152bca3acd4,Gym Membership,2022-08-01,2024-01-05,1059,557
edb7d9e0-51b5-4bf5-b2b2-02417e002370,a752840a-20ad-486f-88bd-0397ce41285d,Health Insurance,2022-12-05,2024-11-06,2145,776
161ba2c7-ee0e-4cc6-8789-0d9c105767c8,7c3e3235-ff7f-4c7b-aaf2-6159aa323fe8,Gym Membership,2022-08-28,2024-06-30,4618,848
4a0a6d86-fa80-47de-8a09-52dfcacaf7a2,9fc383b5-d2b2-4853-baeb-a699142c9cdc,Retirement Plan,2021-07-13,2024-08-16,3216,653
55a3de37-f0a4-424d-9bb5-5e9313c6d766,0dd472df-de4e-443f-bf5b-ac1f96c77cac,Retirement Plan,2021-07-21,2024-07-01,1512,415
f45dea36-6b50-47a7-ab96-1d4df2bee0a0,6d7f88b8-3a0d-40a8-bf6e-05b705714aa4,Gym Membership,2022-08-12,2024-01-18,4703,339
d87ba42c-cd6a-4d85-998a-5c6e3de9cd3b,53c51bf8-b700-41e8-94f3-e8d0d56ace5b,Gym Membership,2020-03-15,2024-12-18,3823,233
e713bda6-c094-42bb-8f88-5e3e6cc67f61,391b0ef4-a3d5-4d32-a6b2-6152bca3acd4,Gym Membership,2021-04-20,2024-01-07,1242,531
b8f6a283-f813-44f7-b491-22ca4d90d18e,f8b7b7e2-8e8a-460c-b3a7-85491aba1b26,Health Insurance,2021-11-10,2024-04-20,4829,982
87497206-c9c5-422d-8540-98a7ed05cc89,0b03b900-f88c-43c0-ac44-29cdae0ef67a,Gym Membership,2020-09-30,2024-10-30,4241,336
96ec43a1-240f-4b93-8ab6-001fe53867a6,ffdd006f-9eb9-46d4-9e73-3d15c27989b3,Retirement Plan,2023-05-23,2024-05-23,3841,839
b8942938-5b1d-4a3d-b8e1-adee2e06d80e,33428d0d-ef56-4413-acab-b6c10c1b8bb8,Health Insurance,2020-08-31,2024-08-22,3343,202
affeda25-3c8d-4523-a58c-75a2da89ba65,6867a041-5f8a-4e7c-9e86-58a60a95814d,Gym Membership,2020-10-03,2024-06-05,4092,443
68313e8e-788b-4330-b42d-38f601f7846a,3c03dbc4-135c-463f-ae0d-dd6532ba4751,Retirement Plan,2020-05-28,2024-11-06,1279,761
475b081c-5d1a-4207-b688-db816b0d0596,7da27e35-0ee9-4b9c-a19c-2dc502589bf2,Retirement Plan,2022-07-27,2024-01-08,4123,829
06c65ac6-8138-44fd-a364-b3bdbd57e8fe,7bd134ee-3438-4a3f-86eb-84439571eec4,Retirement Plan,2023-05-29,2024-09-10,1974,294
e6a1b7ee-6917-4d85-809b-b80b4e22e122,0b03b900-f88c-43c0-ac44-29cdae0ef67a,Health Insurance,2022-09-10,2024-05-04,1580,358
bbbfd7cc-6512-406f-936b-6789defd39e2,f067e064-eab1-46b7-b0e8-b162524ebfea,Gym Membership,2022-03-21,2024-08-04,2026,382
30bdb887-3ef2-4646-970c-ffa5a7976d91,87e8e800-e0ce-4124-ad17-ca547172efff,Retirement Plan,2020-12-20,2024-09-08,4778,878
4d3068cc-8bca-48ed-a071-995670d87c07,0b03b900-f88c-43c0-ac44-29cdae0ef67a,Gym Membership,2020-02-17,2024-06-24,1172,832
ef10135a-3636-4cf8-b638-351a75322295,dadae4cb-0d08-4aab-9fd8-64bdf18617e3,Retirement Plan,2023-01-18,2024-05-12,4504,981
63ce085c-2abb-4d31-a77a-ef302e6dfa4e,0bc06e9d-d558-4b4e-a386-0e7f19cf2967,Health Insurance,2021-07-25,2024-10-26,4340,308
47429088-3963-4f02-9fa1-bb8531b35370,7bd134ee-3438-4a3f-86eb-84439571eec4,Health Insurance,2021-09-15,2024-04-24,2695,293
711eb705-3f48-4588-8b9d-f5882c1cb52d,c19922f8-0180-4ea9-b7c6-035aa2e1b861,Gym Membership,2020-01-11,2024-01-17,1176,554
39ca778a-3e6a-4e0b-9acc-aa4dbfbebd97,4f1f4643-f459-46b1-83a2-f1e25a851efd,Gym Membership,2021-10-05,2024-10-12,2787,898
dcd05820-25b9-4e35-963a-78fc79d53c2f,dadae4cb-0d08-4aab-9fd8-64bdf18617e3,Gym Membership,2020-03-08,2024-08-06,2749,361
96dd2e89-9f87-4e97-b566-2c4a88e9f2d1,a2ff181f-6320-4082-9e7e-597da5a87612,Retirement Plan,2022-02-03,2024-11-17,4890,466
0608413e-77a7-4997-a018-7f2ba7502bdf,3eed8519-c06a-4333-9713-eafe0cdefb2a,Gym Membership,2023-09-10,2024-06-29,2965,953
5dbc625e-d102-4eb4-9088-4e8a7e42efc1,0ded85d5-b9a4-42f6-9179-867414d3b044,Health Insurance,2023-08-01,2024-09-14,2276,310
3cf0c63f-c740-4496-8d4c-c5cece09f882,f8b7b7e2-8e8a-460c-b3a7-85491aba1b26,Health Insurance,2022-05-15,2024-03-02,3150,608
fe10922f-bb2e-4dcf-987e-f6d954f235e1,0ded85d5-b9a4-42f6-9179-867414d3b044,Gym Membership,2021-02-21,2024-10-11,2393,821
a87c2b22-cf85-4b40-bd50-a42e429b00a3,85143113-19d4-4d9b-8999-7deb58b24b28,Retirement Plan,2021-07-21,2024-09-26,4036,587
34bd77ef-528b-40e9-b812-ab26a1c52794,6c8a2340-0f0c-47e1-b0eb-14b335c5691a,Retirement Plan,2021-09-27,2024-05-29,2384,877
07f619e8-2cae-4c11-aa08-90b31a3715e6,751d91d3-08ee-44cd-84a8-27a9de9356f1,Health Insurance,2023-09-27,2024-12-20,1536,410
a4e4712e-af68-4390-a21d-5824005db6c2,87e8e800-e0ce-4124-ad17-ca547172efff,Retirement Plan,2022-08-08,2024-01-02,1912,869
bbf3d437-2c42-4ad7-be62-5d2395912107,a752840a-20ad-486f-88bd-0397ce41285d,Retirement Plan,2020-10-09,2024-12-11,2780,630
bdff6015-c15b-4a89-a446-aac90656fcf7,0cb5aad2-5cd7-4a10-99d5-513521bdec25,Health Insurance,2021-01-02,2024-02-08,3312,947
9d31e50e-cbd6-4b17-a718-f00956d284e9,0ded85d5-b9a4-42f6-9179-867414d3b044,Health Insurance,2022-10-29,2024-01-09,3640,833
c893446d-06b2-4662-826d-bf479b9cfd57,e6854c26-63e9-4ffa-94de-78ccd57a4e43,Health Insurance,2019-12-30,2024-07-12,3093,491
6cfad946-1c9b-47c2-8da6-603bbb9c07b3,35e67f3d-0bc7-4bc7-9474-388c4f64aadf,Retirement Plan,2020-09-13,2024-12-27,3270,395
2820e7db-a428-441e-be01-fc60f5f84e1b,20ad3e60-5726-4ad9-ad61-64d77f9d44bb,Health Insurance,2023-03-25,2024-07-17,2605,445
72214dc7-453b-4cf0-8d0c-f11e7764e877,c8eeea7d-f26a-4ccd-a575-ce95d149bd50,Retirement Plan,2020-01-27,2024-05-29,2947,698
eea00b26-0ac6-43f2-95f5-02dee8cfa45f,c8eeea7d-f26a-4ccd-a575-ce95d149bd50,Health Insurance,2021-08-26,2024-02-17,1246,890
675f706c-5f7b-4671-bc0a-4393a311ffb5,20ad3e60-5726-4ad9-ad61-64d77f9d44bb,Gym Membership,2022-12-11,2024-03-02,1188,607
e7a2de9a-f586-472a-b484-18167a40812f,20ad3e60-5726-4ad9-ad61-64d77f9d44bb,Gym Membership,2023-04-17,2024-10-25,1363,427
60b65c8d-4115-4f73-b2de-62d94d8645e2,2fdd2102-0284-4663-9060-dd89488e1d22,Gym Membership,2021-10-16,2024-09-20,1354,426
bd9641fc-df6b-4592-8969-d740bfbd7060,a054d1a1-2403-4b3a-b04c-cac23b697a93,Health Insurance,2020-08-02,2024-01-25,1298,840
40cb4fcc-be2b-4608-9b10-71e016dadb0f,5efe0883-5293-4f37-bb4c-e7f9d20013f5,Gym Membership,2023-03-14,2024-07-22,2644,478
7021a5bb-a0cc-4879-a3a8-64213e3592dd,0b03b900-f88c-43c0-ac44-29cdae0ef67a,Retirement Plan,2023-01-31,2024-04-23,4805,685
ffc35d93-0cdd-4104-8643-892a3f480ef0,156a669d-12ab-4b1a-a13b-29ffbcedfcaf,Gym Membership,2020-12-19,2024-11-05,1719,335
efe6b189-e421-41e4-9705-b62a42db4c87,67ca7962-292a-4349-be84-166e72eee9ab,Retirement Plan,2023-05-02,2024-07-14,4204,466
370ffb66-b040-457f-a6f9-2065e58a869f,4f1f4643-f459-46b1-83a2-f1e25a851efd,Gym Membership,2022-06-05,2024-07-29,2861,759
f1f6d1e6-d4a8-4cd9-9ee4-fb954bb77f8f,06a6dfba-2345-4f14-b6da-3f21f290ae09,Gym Membership,2023-11-23,2024-03-09,4737,260
910027fd-dc00-4a4b-a319-ef1e6f615499,5e2ad7f2-a4f5-4777-949a-4498304d5f82,Retirement Plan,2023-06-20,2024-04-01,1652,291
6abf5737-e4ec-474d-b8f4-baaa8b48aec3,283291bc-95ba-4c80-ac1a-0ac0bdd73142,Retirement Plan,2020-09-19,2024-06-10,1514,550
39b7814b-a689-436d-b683-f96a2296ca6d,f067e064-eab1-46b7-b0e8-b162524ebfea,Retirement Plan,2023-03-29,2024-07-11,1977,465
22c38bd2-b1c7-411e-9da3-dfe1f526276f,840e9361-06fd-4656-af22-75aca4369972,Health Insurance,2023-08-02,2024-04-15,4541,510
d77d7868-46be-40a9-940e-8afbcd97efbf,751d91d3-08ee-44cd-84a8-27a9de9356f1,Gym Membership,2020-07-16,2024-07-10,3191,555
c1c0ccc1-2282-41f9-9da6-19e9dfb743b2,01688ba8-0f94-4c6e-a56e-abdcde9440c1,Gym Membership,2022-03-17,2024-09-17,1197,484
b79ff2be-b21b-4ac9-9967-222073db7624,392ebd35-6c0c-4485-b2c1-512817c7776d,Retirement Plan,2023-01-06,2024-01-26,4170,736
6f01d4a0-93a6-4352-a945-619d7139b2b1,53c51bf8-b700-41e8-94f3-e8d0d56ace5b,Retirement Plan,2020-09-18,2024-03-10,2027,551
b7a4747d-f9d7-43dc-9c0d-90af146f9b14,fbd1513a-ae1a-4dae-a8b6-8a9bb922d164,Retirement Plan,2023-10-21,2024-02-14,2385,325
05d34fc0-0e59-41f0-b7fd-c3858f0d316e,c9843423-45ed-4aee-adaa-7cf5bebfb14b,Retirement Plan,2021-11-30,2024-05-31,1110,274
502d6036-8cb6-4784-ae23-56f80328d189,8f215eca-3adc-4475-90c6-b8b218baa6a7,Retirement Plan,2020-01-07,2024-01-27,2613,396
4a3d9560-5a50-4a97-a7ba-0cdbb4f0ffa9,156a669d-12ab-4b1a-a13b-29ffbcedfcaf,Retirement Plan,2023-10-25,2024-01-14,3039,505
1b04e483-3473-4c89-ae3d-1b725fc36a3e,2ca30431-1356-4301-b941-8891a30bd5e5,Retirement Plan,2022-12-31,2024-01-22,2627,499
c1db3e44-ebc3-41f5-883a-0e1255e575c6,0bc06e9d-d558-4b4e-a386-0e7f19cf2967,Gym Membership,2022-02-08,2024-03-02,3319,501
70fc4a63-3eda-4ba6-a622-8912f7a4b617,f8b7b7e2-8e8a-460c-b3a7-85491aba1b26,Health Insurance,2020-09-01,2024-05-31,3673,276
3bb24881-7b68-4a51-9967-3dab8f454d2a,f067e064-eab1-46b7-b0e8-b162524ebfea,Health Insurance,2023-12-11,2024-09-19,4771,595
d07d0489-3b4f-4512-88b0-47f913bb3679,0b03b900-f88c-43c0-ac44-29cdae0ef67a,Gym Membership,2022-12-13,2024-01-10,3015,590
e4abbf59-1304-40e0-92ea-2596a1a0499b,dbe5efb0-7cb3-44d4-9a1c-c9955af3674e,Gym Membership,2021-06-07,2024-03-11,1072,866
5c4efe5b-aee6-4deb-95a7-b8ebcff2afe4,35e67f3d-0bc7-4bc7-9474-388c4f64aadf,Health Insurance,2021-02-07,2024-12-15,1659,294
dd90c629-4edf-4001-8b68-55e02a15a120,751d91d3-08ee-44cd-84a8-27a9de9356f1,Health Insurance,2022-09-23,2024-10-18,1977,553
8f211e88-d782-47db-b829-3869aedea94f,1e3f36b9-f482-413c-8cc2-70ad0bcf7a46,Health Insurance,2020-10-09,2024-03-29,2083,238
fc1d62ae-1a6f-46ac-aa83-a08b5f938481,08ef725b-35f0-47ae-8834-6638487a9a33,Gym Membership,2020-02-12,2024-12-02,3712,228
ed9120ea-8528-46bf-b7d4-20f25978f3d6,ee19728e-97d8-456c-ace5-38f4ec10c4ba,Retirement Plan,2020-03-26,2024-04-09,2661,711
fd0dd18f-1719-4e1f-88aa-e49d9427ef99,2fdd2102-0284-4663-9060-dd89488e1d22,Retirement Plan,2023-08-02,2024-03-15,2873,278
14c6ce21-bd05-4e1f-9722-29191611e6b4,00e2691f-c8ff-4821-8aa8-e617131586de,Gym Membership,2020-10-11,2024-11-09,4897,778
5e4994f5-1203-45cb-ac4d-f58f06afb77a,9fc383b5-d2b2-4853-baeb-a699142c9cdc,Health Insurance,2020-08-18,2024-11-04,3015,557
d0fc5e31-edad-4f88-a2c9-a8c61fecf257,87e8e800-e0ce-4124-ad17-ca547172efff,Health Insurance,2021-01-08,2024-10-11,2474,985
